time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010480349642	3.44957	-0.791236	0.1	3.7	0.1	radar	6.94947e-310	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	3.54828	-0.963827	0.1	3.8	0.1	lidar	6.94947e-310	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	3.54828	-0.963827	0.1	3.8	0.1	radar	6.94947e-310	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	3.67698	-1.13306	0.1	3.9	0.1	lidar	6.94947e-310	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	3.67698	-1.13306	0.1	3.9	0.1	radar	6.94947e-310	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	3.83078	-1.29917	0.1	4	0.1	lidar	6.94947e-310	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	3.83078	-1.29917	0.1	4	0.1	radar	6.94947e-310	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	4.03555	-1.43099	0.1	4.1	0.1	lidar	6.94947e-310	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	4.03555	-1.43099	0.1	4.1	0.1	radar	6.94947e-310	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	4.25096	-1.57249	0.1	4.2	0.1	lidar	6.94947e-310	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	4.25096	-1.57249	0.1	4.2	0.1	radar	6.94947e-310	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	4.49173	-1.70355	0.1	4.3	0.1	lidar	6.94947e-310	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	4.49173	-1.70355	0.1	4.3	0.1	radar	6.94947e-310	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	4.77365	-1.78563	0.1	4.4	0.1	lidar	6.94947e-310	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	4.77365	-1.78563	0.1	4.4	0.1	radar	6.94947e-310	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	5.08084	-1.83843	0.1	4.5	0.1	lidar	6.94947e-310	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	5.08084	-1.83843	0.1	4.5	0.1	radar	6.94947e-310	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	5.40878	-1.87776	0.1	4.6	0.1	lidar	6.94947e-310	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	5.40878	-1.87776	0.1	4.6	0.1	radar	6.94947e-310	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	5.75711	-1.92182	0.1	4.7	0.1	lidar	6.94947e-310	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	5.75711	-1.92182	0.1	4.7	0.1	radar	6.94947e-310	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	6.13145	-1.92981	0.1	4.8	0.1	lidar	6.94947e-310	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	6.13145	-1.92981	0.1	4.8	0.1	radar	6.94947e-310	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	6.52462	-1.88309	0.1	4.9	0.1	lidar	6.94947e-310	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	6.52462	-1.88309	0.1	4.9	0.1	radar	6.94947e-310	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	6.92585	-1.76273	0.1	5	0.1	lidar	6.94947e-310	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	6.92585	-1.76273	0.1	5	0.1	radar	6.94947e-310	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	7.34348	-1.63025	0.1	5.1	0.1	lidar	6.94947e-310	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	7.34348	-1.63025	0.1	5.1	0.1	radar	6.94947e-310	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	7.76192	-1.44902	0.1	5.2	0.1	lidar	6.94947e-310	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	7.76192	-1.44902	0.1	5.2	0.1	radar	6.94947e-310	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	8.15371	-1.18484	0.1	5.3	0.1	lidar	6.94947e-310	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	8.15371	-1.18484	0.1	5.3	0.1	radar	6.94947e-310	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	8.54165	-0.89671	0.1	5.4	0.1	lidar	6.94947e-310	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	8.54165	-0.89671	0.1	5.4	0.1	radar	6.94947e-310	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	8.92498	-0.59077	0.1	5.5	0.1	lidar	6.94947e-310	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	8.92498	-0.59077	0.1	5.5	0.1	radar	6.94947e-310	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	9.27194	-0.242328	0.1	5.6	0.1	lidar	6.94947e-310	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	9.27194	-0.242328	0.1	5.6	0.1	radar	6.94947e-310	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	9.54774	0.156972	0.1	5.7	0.1	lidar	6.94947e-310	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	9.54774	0.156972	0.1	5.7	0.1	radar	6.94947e-310	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	9.77483	0.569718	0.1	5.8	0.1	lidar	6.94947e-310	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	9.77483	0.569718	0.1	5.8	0.1	radar	6.94947e-310	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	9.98644	0.96661	0.1	5.9	0.1	lidar	6.94947e-310	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	9.98644	0.96661	0.1	5.9	0.1	radar	6.94947e-310	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	10.1195	1.3644	0.1	6	0.1	lidar	6.94947e-310	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	10.1195	1.3644	0.1	6	0.1	radar	6.94947e-310	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	10.2052	1.73873	0.1	6.1	0.1	lidar	6.94947e-310	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	10.2052	1.73873	0.1	6.1	0.1	radar	6.94947e-310	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	10.2822	2.0646	0.1	6.2	0.1	lidar	6.94947e-310	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	10.2822	2.0646	0.1	6.2	0.1	radar	6.94947e-310	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	10.2732	2.33042	0.1	6.3	0.1	lidar	6.94947e-310	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	10.2732	2.33042	0.1	6.3	0.1	radar	6.94947e-310	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	10.2761	2.50161	0.1	6.4	0.1	lidar	6.94947e-310	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	10.2761	2.50161	0.1	6.4	0.1	radar	6.94947e-310	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	10.2482	2.53985	0.1	6.5	0.1	lidar	6.94947e-310	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	10.2482	2.53985	0.1	6.5	0.1	radar	6.94947e-310	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	10.2949	2.43078	0.1	6.6	0.1	lidar	6.94947e-310	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	10.2949	2.43078	0.1	6.6	0.1	radar	6.94947e-310	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	10.3843	2.15194	0.1	6.7	0.1	lidar	6.94947e-310	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	10.3843	2.15194	0.1	6.7	0.1	radar	6.94947e-310	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	10.5837	1.74454	0.1	6.8	0.1	lidar	6.94947e-310	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	10.5837	1.74454	0.1	6.8	0.1	radar	6.94947e-310	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	10.8961	1.27271	0.1	6.9	0.1	lidar	6.94947e-310	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	10.8961	1.27271	0.1	6.9	0.1	radar	6.94947e-310	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	11.268	0.801755	0.1	7	0.1	lidar	6.94947e-310	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	11.268	0.801755	0.1	7	0.1	radar	6.94947e-310	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	11.6466	0.388616	0.1	7.1	0.1	lidar	6.94947e-310	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	11.6466	0.388616	0.1	7.1	0.1	radar	6.94947e-310	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	12.0044	0.10361	0.1	7.2	0.1	lidar	6.94947e-310	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	12.0044	0.10361	0.1	7.2	0.1	radar	6.94947e-310	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	12.2601	-0.0936056	0.1	7.3	0.1	lidar	6.94947e-310	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	12.2601	-0.0936056	0.1	7.3	0.1	radar	6.94947e-310	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	12.4344	-0.173707	0.1	7.4	0.1	lidar	6.94947e-310	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	12.4344	-0.173707	0.1	7.4	0.1	radar	6.94947e-310	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	12.5072	-0.215103	0.1	7.5	0.1	lidar	6.94947e-310	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	12.5072	-0.215103	0.1	7.5	0.1	radar	6.94947e-310	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	12.5202	-0.219682	0.1	7.6	0.1	lidar	6.94947e-310	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	12.5202	-0.219682	0.1	7.6	0.1	radar	6.94947e-310	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	12.4961	-0.224767	0.1	7.7	0.1	lidar	6.94947e-310	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	12.4961	-0.224767	0.1	7.7	0.1	radar	6.94947e-310	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	12.4683	-0.244463	0.1	7.8	0.1	lidar	6.94947e-310	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	12.4683	-0.244463	0.1	7.8	0.1	radar	6.94947e-310	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	12.461	-0.284232	0.1	7.9	0.1	lidar	6.94947e-310	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	12.461	-0.284232	0.1	7.9	0.1	radar	6.94947e-310	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	12.488	-0.286491	0.1	8	0.1	lidar	6.94947e-310	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	12.488	-0.286491	0.1	8	0.1	radar	6.94947e-310	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	12.5603	-0.288293	0.1	8.1	0.1	lidar	6.94947e-310	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	12.5603	-0.288293	0.1	8.1	0.1	radar	6.94947e-310	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	12.6827	-0.294213	0.1	8.2	0.1	lidar	6.94947e-310	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	12.6827	-0.294213	0.1	8.2	0.1	radar	6.94947e-310	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	12.8306	-0.238407	0.1	8.3	0.1	lidar	6.94947e-310	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	12.8306	-0.238407	0.1	8.3	0.1	radar	6.94947e-310	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	13.0087	-0.158576	0.1	8.4	0.1	lidar	6.94947e-310	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	13.0087	-0.158576	0.1	8.4	0.1	radar	6.94947e-310	172.135	32.6666	172.079	32.3873	2.58945	1.06126
